x,y
1,0.44692750
2,0.01103277
3,0.00339877
4,0.00259258
5,0.00271678
6,0.00274117
7,0.00269505
8,0.00267009
9,0.00266591
10,0.00266756
11,0.00266884
12,0.00266914
13,0.00266908
14,0.00266902
15,0.00266900
16,0.00266900
17,0.00266900
18,0.00266900
19,0.00266900
20,0.00266900
21,0.00266900
22,0.00266900
23,0.00266900
24,0.00266900
25,0.00266900
26,0.00266900
27,0.00266900
28,0.00266900
29,0.00266900
30,0.00266900
31,0.00266900
32,0.00266900
33,0.00266900
34,0.00266900
35,0.00266900
36,0.00266900
37,0.00266900
38,0.00266900
39,0.00266900
40,0.00266900
41,0.00266900
42,0.00266900
43,0.00266900
44,0.00266900
45,0.00266900
46,0.00266900
47,0.00266900
48,0.00266900
49,0.00266900
50,0.00266900
