x,y
1,0.59966539
2,0.11394620
3,0.04443007
4,0.02641811
5,0.02187501
6,0.02082266
7,0.02038314
8,0.02011915
9,0.02000388
10,0.01997646
11,0.01997725
12,0.01997927
13,0.01997802
14,0.01997576
15,0.01997422
16,0.01997359
17,0.01997343
18,0.01997342
19,0.01997340
20,0.01997338
21,0.01997336
22,0.01997334
23,0.01997334
24,0.01997334
25,0.01997334
26,0.01997334
27,0.01997334
28,0.01997334
29,0.01997334
30,0.01997334
31,0.01997334
32,0.01997334
33,0.01997334
34,0.01997334
35,0.01997334
36,0.01997334
37,0.01997334
38,0.01997334
39,0.01997334
40,0.01997334
41,0.01997334
42,0.01997334
43,0.01997334
44,0.01997334
45,0.01997334
46,0.01997334
47,0.01997334
48,0.01997334
49,0.01997334
50,0.01997334
