x y
3.20 4.04
3.20 3.34
3.27 10.78
3.33 4.16
3.35 4.59
3.35 4.48
3.42 7.26
3.45 9.64
3.45 6.42
3.47 5.57
3.47 10.16
3.51 5.83
3.56 5.92
3.63 9.61
3.71 7.20
3.73 9.37
3.75 3.61
3.78 7.87
3.83 4.41
3.84 6.62
3.85 4.79
3.88 9.81
3.88 9.51
3.91 5.07
4.00 9.24
4.02 6.16
4.05 9.65
4.07 7.28
4.15 5.11
4.19 7.08
4.20 5.23
4.25 4.86
4.25 5.75
4.33 11.68
4.34 4.69
4.34 3.95
4.34 4.53
4.36 10.48
4.37 8.36
4.38 9.37
4.38 6.47
4.41 4.33
4.41 6.84
4.44 7.25
4.50 5.47
4.55 5.50
4.56 7.85
4.57 10.77
4.61 7.99
4.66 7.31
4.67 7.74
4.68 9.61
4.69 9.11
4.70 4.26
4.72 10.23
4.73 5.90
4.73 10.21
4.76 5.24
4.79 3.62
4.79 8.85
4.80 8.46
4.80 5.53
4.81 5.90
4.84 5.62
4.84 4.86
4.87 9.73
4.96 8.60
4.98 12.53
5.00 5.96
5.04 9.95
5.05 5.27
5.09 12.20
5.10 8.68
5.11 6.03
5.11 7.69
5.13 13.52
5.13 6.95
5.17 8.07
5.18 10.33
5.18 5.67
5.19 9.49
5.21 5.10
5.22 8.53
5.26 11.31
5.26 7.80
5.27 5.38
5.29 6.31
5.29 4.27
5.30 5.63
5.32 6.81
5.37 4.58
5.38 8.29
5.40 11.20
5.45 5.68
5.48 7.93
5.49 8.44
5.50 10.05
5.52 4.93
5.53 6.07
5.53 6.09
5.56 5.04
5.68 11.49
5.69 6.13
5.71 9.79
5.71 8.55
5.75 11.07
5.79 10.65
5.79 9.53
5.79 9.86
5.80 13.41
5.80 5.78
5.80 6.07
5.90 10.79
5.91 7.53
5.92 7.90
5.95 6.30
6.00 10.07
6.05 7.18
6.06 7.74
6.08 8.25
6.09 9.02
6.10 8.48
6.15 8.56
6.15 12.20
6.18 12.38
6.20 13.56
6.21 9.84
6.24 6.06
6.26 11.70
6.28 12.48
6.33 11.95
6.33 9.01
6.33 7.61
6.36 8.83
6.40 10.68
6.45 11.14
6.46 9.34
6.48 9.69
6.57 7.24
6.57 12.00
6.58 6.30
6.59 11.80
6.67 7.33
6.67 10.53
6.67 9.35
6.68 9.00
6.70 11.29
6.71 8.76
6.74 11.98
6.75 13.37
6.77 7.74
6.83 11.49
6.85 6.73
6.88 10.51
6.89 7.37
6.90 11.28
6.91 8.25
6.93 13.49
6.96 12.84
6.97 11.57
7.00 10.31
7.00 8.86
7.03 13.47
7.03 10.44
7.05 11.77
7.06 7.94
7.08 10.07
7.09 9.56
7.09 8.07
7.14 11.25
7.17 9.90
7.17 13.07
7.18 15.59
7.24 12.14
7.25 8.76
7.27 10.05
7.27 10.01
7.27 13.69
7.29 7.39
7.30 11.19
7.30 8.08
7.32 10.39
7.33 12.64
7.33 9.98
7.35 8.28
7.36 10.93
7.37 8.23
7.38 13.71
7.41 13.57
7.41 12.44
7.42 14.91
7.45 8.77
7.49 11.46
7.52 11.09
7.53 11.08
7.55 11.85
7.56 9.92
7.57 8.24
7.57 13.26
7.58 11.93
7.59 9.24
7.60 14.92
7.60 12.16
7.60 11.20
7.61 10.82
7.62 12.39
7.62 14.87
7.63 7.88
7.63 9.84
7.65 12.64
7.66 12.47
7.67 10.25
7.67 10.78
7.70 13.81
7.71 9.97
7.71 14.76
7.75 9.91
7.76 12.84
7.78 10.81
7.79 13.08
7.80 8.71
7.81 10.88
7.82 10.71
7.83 13.30
7.83 9.20
7.83 15.24
7.84 8.49
7.84 8.13
7.87 12.37
7.88 10.04
7.90 9.03
7.93 12.93
7.93 14.19
7.93 11.46
7.96 12.01
7.96 11.95
7.97 12.93
7.99 10.82
8.00 10.45
8.00 10.15
8.01 12.75
8.03 11.62
8.04 11.45
8.07 16.88
8.08 9.02
8.09 14.56
8.12 10.95
8.13 9.93
8.15 10.53
8.17 12.82
8.19 12.01
8.21 11.58
8.23 9.44
8.23 12.86
8.26 11.95
8.26 16.42
8.28 13.53
8.28 11.42
8.29 14.27
8.30 10.75
8.32 9.26
8.34 11.00
8.35 12.44
8.36 14.03
8.38 10.02
8.40 11.30
8.43 9.92
8.43 10.34
8.46 15.15
8.46 10.49
8.49 15.52
8.50 12.74
8.52 12.87
8.52 13.19
8.53 12.27
8.53 16.26
8.53 16.30
8.54 13.53
8.58 13.63
8.61 12.09
8.64 12.91
8.66 11.88
8.67 14.56
8.68 14.39
8.72 10.07
8.72 12.25
8.72 10.72
8.75 13.96
8.75 13.26
8.77 11.80
8.77 12.35
8.78 11.00
8.79 14.81
8.80 11.95
8.81 12.96
8.83 12.20
8.83 11.25
8.84 15.65
8.85 12.35
8.92 11.66
9.01 16.31
9.01 15.32
9.14 11.06
9.14 13.52
9.15 11.95
9.17 13.61
9.25 15.92
9.25 13.09
9.30 16.49
9.31 17.09
9.32 16.61
9.36 13.31
9.38 12.37
9.38 13.63
9.41 13.02
9.44 13.88
9.45 16.31
9.48 11.75
9.53 13.76
9.55 14.82
9.56 11.03
9.57 11.66
9.61 17.09
9.61 13.42
9.62 16.05
9.68 16.28
9.69 14.79
9.71 17.10
9.71 16.71
9.72 15.51
9.73 16.05
9.75 14.76
9.76 14.14
9.77 15.27
9.77 13.93
