x y
2.28 3.70
2.40 2.88
2.50 5.02
2.52 6.87
2.52 2.84
2.61 4.28
2.66 5.73
2.68 6.71
2.68 4.32
2.76 4.85
2.78 6.42
3.01 4.46
3.02 4.71
3.14 7.13
3.15 3.78
3.15 7.46
3.20 9.22
3.21 4.05
3.29 2.60
3.40 5.62
3.47 4.50
3.47 4.91
3.47 5.58
3.51 7.06
3.52 7.04
3.57 4.23
3.63 11.43
3.63 7.79
3.66 4.22
3.67 9.04
3.76 7.00
3.77 5.30
3.79 7.45
3.81 4.90
3.82 3.61
3.84 10.78
3.85 9.57
3.91 11.42
3.97 7.04
3.98 7.10
4.04 6.17
4.11 5.16
4.11 8.54
4.15 6.82
4.15 5.02
4.19 10.97
4.20 5.68
4.25 8.45
4.29 10.23
4.29 4.70
4.32 4.83
4.42 6.86
4.48 8.33
4.48 12.05
4.49 10.00
4.49 8.12
4.50 9.95
4.52 3.28
4.54 4.74
4.56 9.54
4.56 7.85
4.59 7.94
4.64 5.71
4.64 6.57
4.69 11.09
4.70 9.65
4.76 5.46
4.78 10.93
4.79 11.94
4.84 4.93
4.86 8.02
4.86 11.12
4.93 5.63
4.95 5.88
4.96 7.35
4.96 5.84
4.96 12.20
4.98 9.46
4.98 8.62
4.99 9.68
4.99 8.12
5.03 5.32
5.07 8.62
5.07 10.41
5.14 7.80
5.15 6.99
5.17 7.24
5.25 10.17
5.28 5.81
5.28 4.64
5.29 8.71
5.31 6.30
5.32 6.30
5.37 9.57
5.39 8.19
5.40 10.98
5.43 6.77
5.51 4.88
5.53 9.62
5.56 9.91
5.73 9.34
5.77 5.96
5.77 9.82
5.79 8.44
5.81 7.93
5.82 6.14
5.84 9.65
5.85 11.17
5.86 13.51
5.86 11.09
5.87 8.10
5.88 10.71
5.91 9.50
5.92 10.47
5.93 7.63
5.98 7.11
5.99 9.30
6.01 8.15
6.03 10.72
6.04 5.97
6.10 11.27
6.13 7.69
6.13 10.13
6.17 8.52
6.21 9.05
6.21 12.35
6.29 11.89
6.30 6.19
6.33 12.37
6.33 8.78
6.34 9.02
6.35 6.94
6.36 12.83
6.40 6.12
6.40 9.26
6.41 9.83
6.42 10.77
6.42 14.27
6.44 7.91
6.49 9.94
6.50 9.84
6.51 11.39
6.51 10.01
6.53 6.19
6.55 11.94
6.59 10.97
6.62 6.26
6.63 11.10
6.66 8.96
6.67 7.35
6.69 7.55
6.69 11.40
6.74 8.86
6.79 8.88
6.80 9.30
6.81 11.43
6.85 7.34
6.89 11.32
6.89 11.07
6.91 8.26
6.94 8.80
6.96 10.39
7.03 14.90
7.05 9.49
7.07 8.04
7.07 14.07
7.08 12.40
7.08 7.11
7.12 10.83
7.14 12.07
7.15 13.61
7.16 10.64
7.21 8.18
7.22 10.00
7.23 8.08
7.24 13.60
7.24 10.78
7.26 10.17
7.27 10.43
7.28 12.02
7.28 10.13
7.32 8.95
7.32 10.59
7.32 8.19
7.33 8.18
7.33 11.36
7.33 10.03
7.36 10.95
7.36 9.13
7.42 11.58
7.42 12.79
7.45 14.15
7.45 14.90
7.47 10.67
7.47 11.67
7.48 9.96
7.50 9.13
7.51 10.67
7.51 8.10
7.52 14.51
7.56 11.48
7.56 9.92
7.56 7.79
7.58 10.65
7.58 12.83
7.59 11.88
7.60 9.80
7.61 12.52
7.62 12.59
7.65 7.93
7.65 12.24
7.67 14.64
7.68 8.96
7.68 10.36
7.70 13.81
7.71 11.53
7.72 12.48
7.76 10.78
7.78 12.85
7.78 9.76
7.79 13.86
7.79 12.53
7.82 12.09
7.84 8.50
7.84 10.89
7.86 12.19
7.90 10.09
7.91 12.70
7.91 13.43
7.92 12.90
7.92 9.12
7.94 13.09
7.94 11.96
7.95 11.60
7.96 11.48
7.96 12.54
7.98 10.67
8.00 16.28
8.00 10.47
8.02 11.46
8.02 8.91
8.02 10.61
8.02 11.15
8.03 10.53
8.03 9.65
8.05 12.46
8.09 15.63
8.11 14.89
8.11 11.64
8.12 12.60
8.12 12.22
8.13 10.56
8.15 8.88
8.20 11.46
8.21 9.38
8.21 11.36
8.22 12.82
8.22 12.88
8.24 11.23
8.26 12.12
8.29 12.09
8.29 10.74
8.29 13.65
8.30 10.78
8.32 14.04
8.35 12.29
8.35 10.01
8.36 14.42
8.40 11.19
8.42 12.32
8.44 12.78
8.45 10.50
8.45 10.00
8.46 10.37
8.49 13.13
8.50 11.85
8.51 13.18
8.52 12.76
8.52 12.25
8.59 13.71
8.61 13.02
8.61 13.52
8.62 12.06
8.63 11.80
8.71 10.13
8.72 14.50
8.72 12.19
8.74 10.76
8.75 14.33
8.75 13.28
8.76 11.83
8.77 11.80
8.78 11.01
8.81 12.87
8.84 12.18
8.86 12.43
8.87 15.00
8.91 12.40
8.92 11.66
8.94 13.80
9.01 12.45
9.07 10.90
9.08 14.91
9.14 13.51
9.14 13.51
9.17 13.15
9.28 16.32
9.28 16.43
9.31 12.16
9.31 15.81
9.32 17.13
9.32 14.65
9.33 12.84
9.44 11.61
9.48 15.39
9.49 16.12
9.49 16.79
9.49 14.57
9.54 14.97
9.55 11.00
9.55 13.18
9.55 13.86
9.57 11.66
